latitude,longitude,nb_overlap,nb_overlap_1000,nb_overlap_500,nb_overlap_200,latitude_ap,longitude_ap,id_p
41.52446,-87.394095,2091,674,453,96,41.525780000000005,-87.395631,80_32
41.52307,-87.446148,2889,1999,581,206,41.522919,-87.45689200000001,112_73
41.522547,-87.52374900000001,2769,154,71,27,41.524425,-87.48402200000001,72_68
41.479548,-88.05571,2116,486,445,360,41.503693000000005,-87.59503500000001,60_10
41.522749000000005,-87.464368,2026,277,102,41,41.522891,-87.467351,72_64
41.485184,-88.04542799999999,2116,486,445,360,41.519375,-87.55330099999999,60_10
41.513958,-87.55816800000001,2142,970,366,117,41.521876,-87.531521,71_62
41.524218,-87.436675,1826,566,252,25,41.525253,-87.404934,75_98
41.517776000000005,-87.554581,3644,522,370,282,41.525364,-87.39695400000001,35_1
41.522239,-87.527204,2531,168,88,34,41.506544000000005,-87.585929,89_25
41.524263,-87.483901,803,220,163,40,41.521822,-87.409409,1_198
41.504283,-87.593231,1753,199,73,28,41.521471,-87.410204,59_11
41.512584,-87.55921099999999,2257,436,345,92,41.48672,-88.018752,123_17
41.50708,-87.56828,2265,524,353,220,41.522688,-87.508568,17_22
41.522006000000005,-87.387235,2250,496,67,26,41.524229,-87.434671,9_67
41.525378,-87.416674,2643,915,740,192,41.525843,-87.394249,116_22
41.523074,-87.44958199999999,2210,587,539,356,41.524013,-87.489233,10_91
41.525455,-87.41285900000001,2091,674,453,96,41.524573,-87.426124,80_32
41.485731,-88.02180800000001,2531,168,88,34,41.479582,-88.054892,89_25
41.521323,-87.55065199999999,2250,124,61,24,41.485942,-88.02957500000001,35_9
41.522164,-87.549418,2026,277,102,41,41.50688,-87.57006299999999,72_64
41.525216,-87.411425,2204,334,143,91,41.522924,-87.498758,83_4
41.523034,-87.453614,2042,430,302,279,41.522619000000006,-87.510296,10_55
41.524469,-87.43149199999999,2310,483,253,30,41.523484,-87.473741,112_104
41.501729,-88.000764,2007,230,64,28,41.479209,-88.057541,37_31
41.497154,-88.012407,2250,496,67,26,41.503003,-87.596753,9_67
41.486624,-88.018913,2265,524,353,220,41.508057,-87.566085,17_22
41.514294,-87.55779000000001,2201,293,71,27,41.523958,-87.479578,71_112
41.522263,-87.535763,1826,134,64,26,41.523682,-87.545959,27_98
41.513482,-87.55824000000001,3644,522,370,282,41.522924,-87.44496,35_1
41.522691,-87.517945,2265,524,353,220,41.522613,-87.461376,17_22
41.521731,-87.409451,605,605,605,201,41.521499000000006,-87.410167,188_164
41.486171000000006,-88.038344,2531,168,88,34,41.506623,-87.58500899999999,25_89
41.521632,-87.393833,863,471,355,66,41.523602,-87.394069,130_73
41.524303,-87.54131799999999,2501,331,90,28,41.522984,-87.455843,113_117
41.523012,-87.453586,2643,794,101,28,41.523091,-87.445281,72_22
41.524263,-87.394065,2265,524,353,220,41.525843,-87.394249,17_22
41.486113,-88.031777,2265,524,353,220,41.477999,-88.04037,22_17
41.520062,-87.552756,2643,794,101,28,41.523876,-87.539322,72_22
41.521516,-87.402305,545,330,173,116,41.522209,-87.39136200000002,162_186
41.52495,-87.39412,2643,915,740,192,41.525363,-87.414728,22_117
41.521847,-87.533401,1758,285,236,41,41.486009,-87.587365,48_108
41.50659,-87.58573899999999,2982,231,68,29,41.512078,-87.55977999999999,123_72
41.511749,-87.560114,1826,566,252,25,41.499445,-87.583061,75_98
41.522985,-87.455484,2643,915,740,192,41.522740000000006,-87.458748,116_22
41.524552,-87.430785,2643,915,740,192,41.524514,-87.431245,22_117
41.477897000000006,-88.066162,2769,2559,1471,909,41.479855,-88.054689,68_123
41.525779,-87.39695599999999,1383,186,102,18,41.521801,-87.38938,22_160
41.506796,-87.570584,2007,230,64,28,41.485124,-88.048638,37_31
41.523336,-87.493522,2201,297,117,19,41.529638000000006,-87.45902099999999,71_49
41.523727,-87.442038,2265,524,353,220,41.522893,-87.45495000000001,22_17
41.478703,-88.059872,2358,238,197,89,41.485881,-88.04364,54_30
41.517599,-87.392135,2257,436,345,92,41.521692,-87.390714,123_17
41.523272,-87.49381199999999,1758,285,236,41,41.523289000000005,-87.546826,48_108
41.524495,-87.390974,751,751,751,413,41.524462,-87.394126,19_189
41.525777,-87.39421899999999,2265,524,353,220,41.525553,-87.405901,17_22
41.524541,-87.425478,1062,738,431,146,41.522391,-87.407774,112_160
41.51359,-87.558379,2201,293,71,27,41.52427,-87.48246800000001,71_112
41.509313,-87.564083,2257,436,345,92,41.48596,-88.028459,123_17
41.521843,-87.529465,2358,238,197,89,41.522738,-87.50410900000001,54_30
41.522596,-87.51278,2020,963,507,87,41.522726000000006,-87.50774600000001,45_112
41.483553,-88.03026700000001,3644,522,370,282,41.485948,-88.04219499999999,35_1
41.479693,-88.055225,2489,187,71,30,41.520734,-87.55170400000002,70_35
41.509989,-87.563032,2531,168,88,34,41.490265,-88.016094,89_25
41.524515,-87.428051,2161,176,92,37,41.521897,-87.394187,112_63
41.483553,-88.03026700000001,940,287,116,43,41.482159,-88.033192,35_61
41.477911000000006,-88.063289,2531,168,88,34,41.48629,-88.045108,25_89
41.517019,-87.555116,2250,124,61,24,41.478012,-88.064054,35_9
41.502429,-87.598457,2210,587,539,356,41.479435,-88.056423,10_91
41.478206,-88.06295,2034,372,198,95,41.477865,-88.06599,84_124
41.524464,-87.43216000000001,2501,331,90,28,41.524985,-87.422456,113_117
41.524530000000006,-87.430005,2643,794,101,28,41.525247,-87.42061299999999,72_22
41.524235,-87.434441,1826,566,252,25,41.525282,-87.402253,75_98
41.48613,-88.041842,2201,296,180,42,41.52779,-87.482226,71_124
41.525525,-87.40727199999999,3611,2773,709,59,41.525029,-87.394133,65_99
41.524062,-87.540182,1826,134,64,26,41.506776,-87.570926,27_98
41.483552,-88.030266,3644,522,370,282,41.485004,-88.051628,35_1
41.521486,-87.390705,605,368,203,64,41.521636,-87.39225200000001,59_159
41.52270000000001,-87.459073,1880,79,34,13,41.5205,-87.376528,118_24
41.523049,-87.450989,3611,2773,709,59,41.524384,-87.439679,65_99
41.521826,-87.38775299999999,863,471,355,66,41.520217,-87.390605,130_73
41.525199,-87.410612,2358,238,197,89,41.524393,-87.38743000000001,54_30
41.503554,-87.59541300000001,2042,430,302,279,41.475640000000006,-88.065973,10_55
41.505554,-87.590042,2142,970,366,117,41.506710000000005,-87.582416,71_62
41.52278,-87.457093,2250,496,67,26,41.523253,-87.496174,9_67
41.524736,-87.390782,1044,433,319,102,41.521693,-87.391965,206_2
41.522955,-87.502653,2142,970,366,117,41.522599,-87.461575,71_62
41.522818,-87.453769,803,220,163,40,41.521421,-87.408694,1_198
41.483539,-88.025132,3644,522,370,282,41.502413,-87.598263,35_1
41.522672,-87.508053,2042,908,330,61,41.523259,-87.495002,55_58
41.520044,-87.39059999999999,2280,174,83,32,41.525512,-87.40810499999999,17_116
41.522851,-87.40006,2129,225,118,61,41.525498,-87.409912,185_58
41.521882,-87.394097,2042,908,330,61,41.523046,-87.447577,55_58
41.502405,-87.598256,2358,238,197,89,41.51965,-87.55284900000001,54_30
41.524105,-87.48093899999999,2310,548,418,167,41.52271,-87.465247,123_104
41.524539,-87.390743,751,751,751,413,41.524446,-87.394114,19_189
41.521803,-87.388015,2250,496,67,26,41.524512,-87.423912,9_67
41.517438,-87.390536,2034,372,198,95,41.536233,-87.471939,84_124
41.524722,-87.424063,2198,276,96,33,41.525758,-87.394236,29_45
41.524262,-87.542706,2250,124,61,24,41.522703,-87.516959,35_9
41.520866,-87.405758,688,444,357,270,41.521537,-87.40954599999999,176_191
41.52457999999999,-87.42488900000001,863,471,355,66,41.523108,-87.401737,73_130
41.486071,-88.02031000000001,3611,2773,709,59,41.485908,-88.02615100000001,65_99
41.517828,-87.554728,2198,425,67,25,41.523034,-87.4692,116_45
41.523079,-87.448596,2643,915,740,192,41.523484,-87.44260200000001,22_117
41.525361,-87.418834,1062,738,431,146,41.522986,-87.405223,112_160
41.50158999999999,-88.001019,1826,566,252,25,41.486632,-87.58367,75_98
41.523298,-87.471823,2177,521,403,256,41.519471,-87.553325,92_120
41.50432300000001,-87.593357,2201,296,180,42,41.533158,-87.47508400000001,71_124
41.518956,-87.39058000000001,466,346,228,75,41.520286,-87.389561,17_126
41.521717,-87.391574,2042,908,330,61,41.524295,-87.440388,55_58
