id,s_id,nb_overlap,nb_overlap_1000,nb_overlap_500,nb_overlap_200
191,169,685,408,272,201
191,176,688,444,357,270
191,201,1069,581,260,107
192,146,367,189,82,25
193,183,273,169,85,24
196,152,375,375,287,198
197,141,243,243,215,52
198,1,803,220,163,40
199,62,1168,425,318,117
199,130,780,656,165,97
200,170,149,149,73,16
201,191,1069,581,260,107
203,11,809,666,475,375
203,136,715,519,383,283
205,162,545,545,470,211
205,186,982,683,195,66
206,2,1044,433,319,102
206,17,992,434,304,59
206,22,977,319,220,94
206,33,1132,401,247,24
206,135,720,720,533,114
207,11,751,751,595,191
